Date;Time;DateTime;Country;DC_Power;AC_Power;Ambient_Temperature;Module_Temperature;Irradiation;Day;Month;Hour;Daily_Yield;Total_Yield
01/01/2024;0;01/01/2024 00:00;Norway;0.0;0.0;-10.15;-3.33;0.039;1;1;0;145.722;145.722
01/01/2024;1;01/01/2024 01:00;Norway;0.0;0.0;-10.06;-3.5;0.014;1;1;1;145.722;291.444
01/01/2024;2;01/01/2024 02:00;Norway;0.0;0.0;-9.95;-5.17;0.025;1;1;2;145.722;437.16600000000005
01/01/2024;3;01/01/2024 03:00;Norway;0.0;0.0;-9.27;-4.53;0.0;1;1;3;145.722;582.888
01/01/2024;4;01/01/2024 04:00;Norway;0.0;0.0;-9.62;-6.34;0.0;1;1;4;145.722;728.61
01/01/2024;5;01/01/2024 05:00;Norway;0.0;0.0;-9.41;-5.41;0.0;1;1;5;145.722;874.3320000000001
01/01/2024;6;01/01/2024 06:00;Norway;0.0;0.0;-8.53;-4.63;0.0;1;1;6;145.722;1020.0540000000001
01/01/2024;7;01/01/2024 07:00;Norway;0.0;0.0;-9.6;-5.21;0.02;1;1;7;145.722;1165.776
01/01/2024;8;01/01/2024 08:00;Norway;0.0;0.0;-9.91;-5.76;0.006;1;1;8;145.722;1311.498
01/01/2024;9;01/01/2024 09:00;Norway;0.0;0.0;-10.04;-4.39;0.004;1;1;9;145.722;1457.22
01/01/2024;10;01/01/2024 10:00;Norway;17.528;15.605;-9.8;-3.83;0.324;1;1;10;145.722;1602.942
01/01/2024;11;01/01/2024 11:00;Norway;35.292;33.007;-10.09;-3.9;0.704;1;1;11;145.722;1748.6640000000002
01/01/2024;12;01/01/2024 12:00;Norway;48.649;44.963;-10.56;-6.22;0.982;1;1;12;145.722;1894.3860000000002
01/01/2024;13;01/01/2024 13:00;Norway;39.669;35.62;-9.46;-5.99;0.765;1;1;13;145.722;2040.1080000000002
01/01/2024;14;01/01/2024 14:00;Norway;18.308;16.527;-9.16;-4.6;0.361;1;1;14;145.722;2185.83
01/01/2024;15;01/01/2024 15:00;Norway;0.0;0.0;-8.94;-4.31;0.0;1;1;15;145.722;2331.552
01/01/2024;16;01/01/2024 16:00;Norway;0.0;0.0;-9.21;-4.92;0.001;1;1;16;145.722;2477.2740000000003
01/01/2024;17;01/01/2024 17:00;Norway;0.0;0.0;-9.7;-3.6;0.007;1;1;17;145.722;2622.996
01/01/2024;18;01/01/2024 18:00;Norway;0.0;0.0;-8.96;-4.73;0.0;1;1;18;145.722;2768.7180000000003
01/01/2024;19;01/01/2024 19:00;Norway;0.0;0.0;-10.03;-6.97;0.026;1;1;19;145.722;2914.44
01/01/2024;20;01/01/2024 20:00;Norway;0.0;0.0;-9.62;-4.47;0.0;1;1;20;145.722;3060.1620000000003
01/01/2024;21;01/01/2024 21:00;Norway;0.0;0.0;-9.95;-6.4;0.002;1;1;21;145.722;3205.884
01/01/2024;22;01/01/2024 22:00;Norway;0.0;0.0;-10.65;-6.97;0.0;1;1;22;145.722;3351.606
01/01/2024;23;01/01/2024 23:00;Norway;0.0;0.0;-9.6;-2.31;0.02;1;1;23;145.722;3497.3280000000004
01/01/2024;0;01/01/2024 00:00;Brazil;0.0;0.0;20.95;23.76;0.0;1;1;0;486.372;486.372
01/01/2024;1;01/01/2024 01:00;Brazil;0.0;0.0;19.86;24.55;0.0;1;1;1;486.372;972.744
01/01/2024;2;01/01/2024 02:00;Brazil;0.0;0.0;20.02;26.57;0.008;1;1;2;486.372;1459.116
01/01/2024;3;01/01/2024 03:00;Brazil;0.0;0.0;19.5;23.83;0.024;1;1;3;486.372;1945.488
01/01/2024;4;01/01/2024 04:00;Brazil;0.0;0.0;20.28;26.0;0.0;1;1;4;486.372;2431.86
01/01/2024;5;01/01/2024 05:00;Brazil;0.0;0.0;20.65;23.57;0.0;1;1;5;486.372;2918.232
01/01/2024;6;01/01/2024 06:00;Brazil;12.977;11.691;20.27;25.86;0.189;1;1;6;486.372;3404.6040000000003
01/01/2024;7;01/01/2024 07:00;Brazil;21.05;19.027;20.03;24.7;0.292;1;1;7;486.372;3890.976
01/01/2024;8;01/01/2024 08:00;Brazil;33.761;31.509;19.71;24.85;0.468;1;1;8;486.372;4377.348
01/01/2024;9;01/01/2024 09:00;Brazil;43.056;39.628;19.54;24.78;0.625;1;1;9;486.372;4863.72
01/01/2024;10;01/01/2024 10:00;Brazil;59.798;54.162;20.19;25.83;0.844;1;1;10;486.372;5350.092000000001
01/01/2024;11;01/01/2024 11:00;Brazil;66.52;61.375;21.51;23.98;0.923;1;1;11;486.372;5836.464
01/01/2024;12;01/01/2024 12:00;Brazil;67.1;60.237;20.0;24.39;0.973;1;1;12;486.372;6322.836
